# Large batch test — 500 active LOINC codes sampled across clinical domains
# Source: LOINC 2.82, ACTIVE status only
# Classes represented: chemistry, microbiology, hematology, drug/tox,
#   serology, allergy, radiology, H&P, panels, coagulation, urinalysis,
#   cardiology, respiratory, vital signs, pathology, and more

39129-2  # Moisture of Skin
14876-7  # Phenylpropanolamine [Presence] in Gastric fluid
30900-5  # Cold agglutinin [Titer] in Serum or Plasma by Adult RBC Agglutination
94102-1  # Epstein Barr virus early diffuse IgA Ab [Units/volume] in Serum or Plasma by Immunoassay
32770-0  # Transfusion band number
35502-4  # Mitochondrial myopathy enzyme panel [Enzymatic activity/mass] - Tissue
78265-6  # Emergency department Discharge teaching note
313-7  # Lymecycline [Susceptibility] by Serum bactericidal titer
21863-6  # Date last screened Cancer
3651-7  # fluPHENAZine [Mass/volume] in Urine
42444-0  # XR Thoracic spine Views AP W right bending and W left bending and WO bending
38879-3  # Ventilator disconnect reason
96596-2  # Cholesterol in HDL [Mass/volume] in DBS
50966-1  # Flunitrazepam [Presence] in Serum, Plasma or Blood
82785-7  # Lab order date
9138-9  # Fluid output emesis 1 hour
48299-2  # New coccine triggered leukotriene release [Mass/volume] by Leukocytes
112414-8  # Gallopamil [Mass/volume] in Serum
11327-4  # Heart rate method at First encounter
11356-3  # History of Genitourinary systems disorders Narrative
7503-6  # Moth triggered histamine release [Units/volume] in Blood
13070-8  # Phosphatidate IgG Ab [Units/volume] in Serum
72133-2  # Montreal Cognitive Assessment [MoCA]
14810-6  # Leukocytes [#/volume] in Bronchial specimen by Manual count
23637-2  # Cefdinir [Susceptibility] by Minimum inhibitory concentration (MIC)
71677-9  # Monocytes/Leukocytes [Pure number fraction] in Blood by Automated count
4211-9  # Desethylamiodarone [Mass] of Dose
88532-7  # Human metapneumovirus identified in Cornea or Conjunctiva by Organism specific culture
75584-3  # Fetal Prader-Willi syndrome risk [Interpretation] based on Plasma cell-free+WBC DNA by Dosage of chromosome-specific cfDNA Qualitative
103215-0  # Wake time after sleep onset
65869-0  # Pregnancy complication
40153-9  # Glucose [Moles/volume] in Serum or Plasma --5 minutes post XXX challenge
50402-7  # Blood pressure systolic and diastolic--after transfusion
5781-0  # Crystals [type] in Synovial fluid by Light microscopy
97396-6  # US Guidance for injection of Elbow - bilateral
40358-4  # Desipramine [Presence] in Gastric fluid
99889-8  # Crystal casts [#/area] in Urine sediment by Computer assisted method
53551-8  # 3,4-Dihydroxyphenylacetate/Creatinine [Molar ratio] in 24 hour Urine
96387-6  # Sensory symptoms
103006-3  # Timothy recombinant (rPhl p) 7 + 12 IgE Ab [Presence] in Serum by Radioallergosorbent test (RAST)
54998-0  # Suctioning in last 14 days - while not a resident [MDSv3]
73199-2  # Pravastatin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC)
